,date,max_load
322,2010/8/29,17336.0
323,2010/8/30,20489.0
324,2010/8/31,21557.0
325,2010/9/1,21899.0
326,2010/9/2,21524.0
327,2010/9/3,22194.0
328,2010/9/4,20361.0
329,2010/9/5,18856.0
330,2010/9/6,22019.0
331,2010/9/7,22226.0
332,2010/9/8,23318.0
333,2010/9/9,23245.0
334,2010/9/10,21864.0
335,2010/9/11,19705.0
336,2010/9/12,16769.0
337,2010/9/13,18756.0
338,2010/9/14,20443.0
339,2010/9/15,19892.0
340,2010/9/16,19667.0
341,2010/9/17,19772.0
342,2010/9/18,18062.0
343,2010/9/19,20814.0
344,2010/9/20,22045.0
345,2010/9/21,22434.0
346,2010/9/22,17156.0
347,2010/9/23,14867.0
348,2010/9/24,15556.0
349,2010/9/25,16319.0
350,2010/9/26,15888.0
351,2010/9/27,16135.0
352,2010/9/28,16410.0
353,2010/9/29,15811.0
354,2010/9/30,15378.0
355,2010/10/1,11950.0
356,2010/10/2,12249.0
357,2010/10/3,12458.0
358,2010/10/4,13399.0
359,2010/10/5,13772.0
360,2010/10/6,14379.0
361,2010/10/7,14840.0
362,2010/10/8,16028.0
363,2010/10/9,15942.0
364,2010/10/10,14547.0
365,2010/10/11,16106.0
366,2010/10/12,16250.0
367,2010/10/13,16087.0
368,2010/10/14,16032.0
369,2010/10/15,15608.0
370,2010/10/16,14713.0
371,2010/10/17,14106.0
372,2010/10/18,15651.0
373,2010/10/19,15969.0
374,2010/10/20,15844.0
375,2010/10/21,15705.0
376,2010/10/22,15786.0
377,2010/10/23,15106.0
378,2010/10/24,14242.0
379,2010/10/25,15640.0
380,2010/10/26,15555.0
381,2010/10/27,15671.0
382,2010/10/28,15778.0
383,2010/10/29,15765.0
384,2010/10/30,14622.0
385,2010/10/31,13939.0
386,2010/11/1,15800.0
387,2010/11/3,15828.0
388,2010/11/4,15625.0
389,2010/11/5,15572.0
390,2010/11/6,14785.0
391,2010/11/7,14204.0
392,2010/11/8,15904.0
393,2010/11/9,15812.0
394,2010/11/10,15679.0
395,2010/11/11,15815.0
396,2010/11/12,15465.0
397,2010/11/13,14730.0
398,2010/11/14,14279.0
399,2010/11/15,16227.0
400,2010/11/16,16395.0
401,2010/11/17,16205.0
402,2010/11/18,16076.0
403,2010/11/19,15906.0
404,2010/11/20,15074.0
405,2010/11/21,14374.0
406,2010/11/22,15939.0
407,2010/11/23,16065.0
408,2010/11/24,16106.0
409,2010/11/25,16005.0
410,2010/11/26,15980.0
411,2010/11/27,14996.0
412,2010/11/28,14281.0
413,2010/11/29,15856.0
414,2010/11/30,15947.0
415,2010/12/1,15842.0
416,2010/12/2,15779.0
417,2010/12/3,15753.0
418,2010/12/4,15007.0
419,2010/12/5,14031.0
420,2010/12/6,16352.0
421,2010/12/7,16914.0
422,2010/12/8,16935.0
423,2010/12/9,16898.0
424,2010/12/10,16333.0
425,2010/12/11,15800.0
426,2010/12/12,15346.0
427,2010/12/13,16996.0
428,2010/12/14,17767.0
429,2010/12/15,19508.0
430,2010/12/16,19819.0
431,2010/12/17,19486.0
432,2010/12/18,17177.0
433,2010/12/19,15632.0
434,2010/12/20,17643.0
435,2010/12/21,17282.0
436,2010/12/22,17305.0
437,2010/12/23,16926.0
438,2010/12/24,19007.0
439,2010/12/25,18107.0
440,2010/12/26,17506.0
441,2010/12/27,18928.0
442,2010/12/28,18410.0
443,2010/12/29,18190.0
444,2010/12/30,18994.0
445,2010/12/31,19378.0
446,2011/1/1,16544.0
447,2011/1/2,17685.0
448,2011/1/3,19185.0
449,2011/1/4,20386.0
450,2011/1/5,21077.0
451,2011/1/6,21172.0
452,2011/1/7,21068.0
453,2011/1/8,18982.0
454,2011/1/9,19348.0
455,2011/1/10,20971.0
456,2011/1/11,21435.0
457,2011/1/12,21061.0
458,2011/1/13,20534.0
459,2011/1/14,20497.0
460,2011/1/15,20303.0
461,2011/1/16,20067.0
462,2011/1/17,21325.0
463,2011/1/18,21858.0
464,2011/1/19,21786.0
465,2011/1/20,21922.0
466,2011/1/21,20934.0
467,2011/1/22,19115.0
468,2011/1/23,18610.0
469,2011/1/24,20128.0
470,2011/1/25,19514.0
471,2011/1/26,19509.0
472,2011/1/27,18597.0
473,2011/1/28,18832.0
474,2011/1/29,17189.0
475,2011/1/30,17139.0
476,2011/1/31,15964.0
477,2011/2/1,14640.0
478,2011/2/2,12790.0
479,2011/2/3,12152.0
480,2011/2/4,11797.0
481,2011/2/5,11900.0
482,2011/2/6,12049.0
483,2011/2/7,12408.0
484,2011/2/8,12590.0
485,2011/2/9,14822.0
486,2011/2/10,17306.0
487,2011/2/11,17546.0
488,2011/2/12,17848.0
489,2011/2/13,17487.0
490,2011/2/14,19231.0
491,2011/2/15,19428.0
492,2011/2/16,19714.0
493,2011/2/17,19852.0
494,2011/2/18,19706.0
495,2011/2/19,17849.0
496,2011/2/20,16814.0
497,2011/2/21,18746.0
498,2011/2/22,18087.0
499,2011/2/23,17225.0
500,2011/2/24,16888.0
501,2011/2/25,17780.0
502,2011/2/26,16256.0
503,2011/2/27,15252.0
504,2011/2/28,18655.0
505,2011/3/1,19727.0
506,2011/3/2,19129.0
507,2011/3/3,18637.0
508,2011/3/4,18556.0
509,2011/3/5,16852.0
510,2011/3/6,16609.0
511,2011/3/7,18442.0
512,2011/3/8,17812.0
513,2011/3/9,17873.0
514,2011/3/10,17420.0
515,2011/3/11,17235.0
516,2011/3/12,16029.0
517,2011/3/13,15165.0
518,2011/3/14,17657.0
519,2011/3/15,18450.0
520,2011/3/16,17927.0
521,2011/3/17,16882.0
522,2011/3/18,17486.0
523,2011/3/19,16009.0
524,2011/3/20,15469.0
525,2011/3/21,18532.0
526,2011/3/22,18891.0
527,2011/3/23,17850.0
528,2011/3/24,17159.0
529,2011/3/25,17392.0
530,2011/3/26,15913.0
531,2011/3/27,15103.0
532,2011/3/28,16688.0
533,2011/3/29,16766.0
534,2011/3/30,16793.0
535,2011/3/31,16484.0
536,2011/4/1,16218.0
537,2011/4/2,16321.0
538,2011/4/3,15298.0
539,2011/4/4,14435.0
540,2011/4/5,13811.0
541,2011/4/6,16363.0
542,2011/4/7,16990.0
543,2011/4/8,16344.0
544,2011/4/9,15323.0
545,2011/4/10,14454.0
546,2011/4/11,16396.0
547,2011/4/12,16132.0
548,2011/4/13,16241.0
549,2011/4/14,16194.0
550,2011/4/15,16457.0
551,2011/4/16,15307.0
552,2011/4/17,14262.0
553,2011/4/18,15979.0
554,2011/4/19,16039.0
555,2011/4/20,16028.0
556,2011/4/21,16288.0
557,2011/4/22,16536.0
558,2011/4/23,15077.0
559,2011/4/24,14556.0
560,2011/4/25,16124.0
561,2011/4/26,16256.0
562,2011/4/27,16399.0
563,2011/4/28,15800.0
564,2011/4/29,16076.0
565,2011/4/30,14421.0
566,2011/5/1,12289.0
567,2011/5/2,13225.0
568,2011/5/3,16115.0
569,2011/5/4,15705.0
570,2011/5/5,15843.0
571,2011/5/6,16360.0
572,2011/5/7,15858.0
573,2011/5/8,15380.0
574,2011/5/9,18070.0
575,2011/5/10,19334.0
576,2011/5/11,17288.0
577,2011/5/12,16934.0
578,2011/5/13,16928.0
579,2011/5/14,15472.0
580,2011/5/15,14618.0
581,2011/5/16,17070.0
582,2011/5/17,17561.0
583,2011/5/18,17457.0
584,2011/5/19,18060.0
585,2011/5/20,19311.0
586,2011/5/21,16118.0
587,2011/5/22,14295.0
588,2011/5/23,15940.0
589,2011/5/24,15883.0
590,2011/5/25,16127.0
591,2011/5/26,16214.0
592,2011/5/27,16107.0
593,2011/5/28,15042.0
594,2011/5/29,14139.0
595,2011/5/30,16333.0
596,2011/5/31,16961.0
597,2011/6/1,16690.0
598,2011/6/2,17685.0
599,2011/6/3,17472.0
600,2011/6/4,15405.0
601,2011/6/5,13901.0
602,2011/6/6,12942.0
603,2011/6/7,16019.0
604,2011/6/8,17448.0
605,2011/6/9,19371.0
606,2011/6/10,18528.0
607,2011/6/11,16179.0
608,2011/6/12,14700.0
609,2011/6/13,17954.0
610,2011/6/14,16953.0
611,2011/6/15,16547.0
612,2011/6/16,16647.0
613,2011/6/17,16798.0
614,2011/6/18,15764.0
615,2011/6/19,14181.0
616,2011/6/20,16683.0
617,2011/6/21,17516.0
618,2011/6/22,19934.0
619,2011/6/23,20696.0
620,2011/6/24,21379.0
621,2011/6/25,18081.0
622,2011/6/26,15721.0
623,2011/6/27,19646.0
624,2011/6/28,21091.0
625,2011/6/29,21082.0
626,2011/6/30,20288.0
627,2011/7/1,21266.0
628,2011/7/2,20781.0
629,2011/7/3,21557.0
630,2011/7/4,24129.0
631,2011/7/5,22710.0
632,2011/7/6,24193.0
633,2011/7/7,24908.0
634,2011/7/8,23183.0
635,2011/7/9,20294.0
636,2011/7/10,18686.0
637,2011/7/11,21595.0
638,2011/7/12,21453.0
639,2011/7/13,21667.0
640,2011/7/14,22318.0
641,2011/7/15,22151.0
642,2011/7/16,20667.0
643,2011/7/17,18682.0
644,2011/7/18,22656.0
645,2011/7/19,22774.0
646,2011/7/20,22560.0
647,2011/7/21,23120.0
