,subTypeName,dealnum,close,open,low,average,dealamount,indate,high,deal
780,SZ2014,0,43,43,43,0,0,2016/3/23,43,43
781,湖北,40100,22.1,22,21.9,0,883200,2016/3/23,21,22.02
782,重庆,0,10,10,10,0,0,2016/3/23,10,10
783,北京,3,46.47,46.47,46.47,0,139.4,2016/3/22,46.47,46.47
784,上海,0,9.8,9.8,9.8,0,0,2016/3/22,9.8,9.8
785,广东,292608,16.01,15.98,16,0,4685760,2016/3/22,17.26,16.01
786,天津,40,23.15,23.15,23.15,0,926,2016/3/22,23.15,23.15
787,SZ2013,0,54.45,54.45,54.45,0,0,2016/3/22,54.45,54.45
788,SZ2014,104,43,42,42,0,4777,2016/3/22,46,45.93
789,SZ2015,2,43,43,43,0,86,2016/3/22,43,43
790,湖北,147300,22.07,22.78,21.9,0,3266410,2016/3/22,22.78,22.18
791,重庆,0,10,10,10,0,0,2016/3/22,10,10
792,北京,0,47,47,47,0,0,2016/3/21,47,47
793,上海,0,9.8,9.8,9.8,0,0,2016/3/21,9.8,9.8
