,date,FDL
650,2009/10/11,28022.2
651,2009/10/12,30142.05
652,2009/10/13,30146.4
653,2009/10/14,30193.25
654,2009/10/15,30072.2
655,2009/10/16,30418.75
656,2009/10/17,28703.1
657,2009/10/18,27313.3
658,2009/10/19,29813.15
659,2009/10/20,30134
660,2009/10/21,30340.25
661,2009/10/22,30531.25
662,2009/10/23,30649.75
663,2009/10/24,29351.7
664,2009/10/25,27845.99
665,2009/10/26,30021.4
666,2009/10/27,30715.95
667,2009/10/28,30956.7
668,2009/10/29,31260.25
669,2009/10/30,31435.55
670,2009/10/31,29517.25
671,2009/11/01,26997
672,2009/11/02,29708.52
673,2009/11/03,30344.62
674,2009/11/04,30136
675,2009/11/05,30217.8
676,2009/11/06,30417.75
677,2009/11/07,29194
678,2009/11/08,28061.8
679,2009/11/09,30364.8
680,2009/11/10,30668.75
681,2009/11/11,30292.68
682,2009/11/12,30618.21
683,2009/11/13,31849.21
684,2009/11/14,30041.75
685,2009/11/15,28954.6
686,2009/11/16,32818.75
687,2009/11/17,35079.92
688,2009/11/18,35930.86
689,2009/11/19,36165.36
690,2009/11/20,36666.14
691,2009/11/21,33294.52
692,2009/11/22,30802
693,2009/11/23,32865.99
694,2009/11/24,32062.08
695,2009/11/25,31702.53
696,2009/11/26,31236.4
697,2009/11/27,31245.91
698,2009/11/28,30489
699,2009/11/29,29991.8
700,2009/11/30,34015.75
701,2009/12/01,34053
702,2009/12/02,33722.51
703,2009/12/03,34964.56
704,2009/12/04,34294.76
705,2009/12/05,32788.53
706,2009/12/06,30887.66
707,2009/12/07,33036.29
708,2009/12/08,33374.1
709,2009/12/09,33810.8
710,2009/12/10,34185.09
711,2009/12/11,33708.34
712,2009/12/12,31686.35
713,2009/12/13,30947.78
714,2009/12/14,33604.11
715,2009/12/15,35728.63
716,2009/12/16,35698
717,2009/12/17,36584.18
718,2009/12/18,37570.71
719,2009/12/19,36329.7
720,2009/12/20,34846.55
721,2009/12/21,38097.21
722,2009/12/22,36833.25
723,2009/12/23,35577.79
724,2009/12/24,34396.48
725,2009/12/25,35476.75
726,2009/12/26,34597.7
727,2009/12/27,35204.11
728,2009/12/28,38217.64
729,2009/12/29,37715.63
730,2009/12/30,36705.34
731,2009/12/31,35883
732,2010/01/01,30217
733,2010/01/02,30108.05
734,2010/01/03,31534.06
735,2010/01/04,36237.66
736,2010/01/05,39420.42
737,2010/01/06,39526.99
738,2010/01/07,39879.17
739,2010/01/08,39511.61
740,2010/01/09,36519.5
741,2010/01/10,35601.71
742,2010/01/11,39823
743,2010/01/12,40252.41
744,2010/01/13,41407.24
745,2010/01/14,40444.42
746,2010/01/15,39339.53
747,2010/01/16,36341.1
748,2010/01/17,33586.4
749,2010/01/18,35634.24
750,2010/01/19,34479
751,2010/01/20,33596.9
752,2010/01/21,37588.02
753,2010/01/22,38713.43
754,2010/01/23,36318.23
755,2010/01/24,33999
756,2010/01/25,36900.71
757,2010/01/26,37245
758,2010/01/27,37077.52
759,2010/01/28,35786.27
760,2010/01/29,34839
761,2010/01/30,32552.7
762,2010/01/31,31713.45
763,2010/02/01,34618.7
764,2010/02/02,36086.75
765,2010/02/03,35256.75
766,2010/02/04,35188.4
767,2010/02/05,34617
768,2010/02/06,32739.95
769,2010/02/07,31028.82
770,2010/02/08,30650
771,2010/02/09,28783.57
772,2010/02/10,29264.4
773,2010/02/11,30851.6
774,2010/02/12,29325.45
775,2010/02/13,25891.95
776,2010/02/14,25695.65
777,2010/02/15,25507.45
778,2010/02/16,25847.75
779,2010/02/17,26148.7
780,2010/02/18,26718.75
781,2010/02/19,27022
782,2010/02/20,28334.83
783,2010/02/21,28384.95
784,2010/02/22,29129
785,2010/02/23,29475.6
786,2010/02/24,29702.5
787,2010/02/25,29859.05
788,2010/02/26,31457.7
789,2010/02/27,30361.5
790,2010/02/28,28365
791,2010/03/01,32810.73
792,2010/03/02,34726.2
793,2010/03/03,35850
794,2010/03/04,35759.78
795,2010/03/05,36466.18
796,2010/03/06,35363.68
797,2010/03/07,33754.7
798,2010/03/08,37264.18
799,2010/03/09,39886.82
800,2010/03/10,39345.5
801,2010/03/11,36892.1
802,2010/03/12,33799.89
803,2010/03/13,32417.9
804,2010/03/14,30882.25
805,2010/03/15,34566
806,2010/03/16,34185
807,2010/03/17,33589.05
808,2010/03/18,34121.25
809,2010/03/19,32884.95
810,2010/03/20,30669.65
811,2010/03/21,29444.7
812,2010/03/22,32436.3
813,2010/03/23,34178.15
814,2010/03/24,35529.5
815,2010/03/25,34585.6
816,2010/03/26,34206
817,2010/03/27,32436.87
818,2010/03/28,30003
819,2010/03/29,32703.7
820,2010/03/30,33702.1
821,2010/03/31,32622
822,2010/04/01,33243.3
823,2010/04/02,32875.31
824,2010/04/03,30746.9
825,2010/04/04,29127
826,2010/04/05,26644.7
827,2010/04/06,32174
828,2010/04/07,32353.2
829,2010/04/08,33433.1
830,2010/04/09,33636.05
831,2010/04/10,31527
832,2010/04/11,30660
833,2010/04/12,33048.05
834,2010/04/13,34239.1
835,2010/04/14,35313.98
836,2010/04/15,35603.3
837,2010/04/16,34078.25
838,2010/04/17,31652.4
839,2010/04/18,29783.45
840,2010/04/19,32118.85
841,2010/04/20,32722.15
842,2010/04/21,32488.46
843,2010/04/22,33053.45
844,2010/04/23,32234
845,2010/04/24,30921
846,2010/04/25,29577.8
847,2010/04/26,31841.55
848,2010/04/27,31787.53
849,2010/04/28,31656
850,2010/04/29,31330.14
851,2010/04/30,28658.67
852,2010/05/01,24505
853,2010/05/02,25280.5
854,2010/05/03,27367.25
855,2010/05/04,29742.3
856,2010/05/05,31693.45
857,2010/05/06,32448.3
858,2010/05/07,31984.7
859,2010/05/08,30492.5
860,2010/05/09,28996
861,2010/05/10,31124.78
862,2010/05/11,31965
863,2010/05/12,31830.82
864,2010/05/13,31696.36
865,2010/05/14,31663.4
866,2010/05/15,30272.13
867,2010/05/16,28705.66
868,2010/05/17,31405.2
869,2010/05/18,33021.9
870,2010/05/19,33004.92
871,2010/05/20,32688
872,2010/05/21,32577.64
873,2010/05/22,31110.16
874,2010/05/23,28829.05
875,2010/05/24,32210.1
876,2010/05/25,33142.77
877,2010/05/26,33136.35
878,2010/05/27,33266.76
879,2010/05/28,32642.19
880,2010/05/29,30579.27
881,2010/05/30,28931.87
882,2010/05/31,31543.62
883,2010/06/01,31898.83
884,2010/06/02,32320.75
885,2010/06/03,32578.23
886,2010/06/04,32772.95
887,2010/06/05,31133.4
888,2010/06/06,29701.54
889,2010/06/07,33129.1
890,2010/06/08,33356.46
891,2010/06/09,32730.87
892,2010/06/10,33266.64
893,2010/06/11,33360.29
894,2010/06/12,32997.78
895,2010/06/13,32318.72
896,2010/06/14,31781.77
897,2010/06/15,30795
898,2010/06/16,28085.79
899,2010/06/17,34287.75
900,2010/06/18,37454.93
901,2010/06/19,38057.25
902,2010/06/20,33049.18
903,2010/06/21,35390.96
904,2010/06/22,35931.74
905,2010/06/23,37342.18
906,2010/06/24,35717.78
907,2010/06/25,34650.01
908,2010/06/26,32741.55
909,2010/06/27,31837.43
910,2010/06/28,35246.1
911,2010/06/29,36070.38
912,2010/06/30,39786.86
913,2010/07/01,42743.65
914,2010/07/02,45665.6
915,2010/07/03,43184.51
916,2010/07/04,38400.65
917,2010/07/05,40551.97
918,2010/07/06,40238.34
919,2010/07/07,40867.8
920,2010/07/08,40480.57
921,2010/07/09,40869.74
922,2010/07/10,39635.71
923,2010/07/11,36729.45
924,2010/07/12,39358.93
925,2010/07/13,39195.78
926,2010/07/14,37818.65
927,2010/07/15,39016.66
928,2010/07/16,38661.65
929,2010/07/17,37787.55
930,2010/07/18,38369.47
931,2010/07/19,43095.37
932,2010/07/20,44619.44
933,2010/07/21,45989.12
934,2010/07/22,46480.98
935,2010/07/23,45780.45
936,2010/07/24,41719.83
937,2010/07/25,38934.09
938,2010/07/26,41220.08
939,2010/07/27,39949.74
940,2010/07/28,41984.09
941,2010/07/29,44499.44
942,2010/07/30,46052.04
943,2010/07/31,45440.48
944,2010/08/01,45973.38
945,2010/08/02,51611.28
946,2010/08/03,52216.97
947,2010/08/04,50790.53
948,2010/08/05,49229.44
949,2010/08/06,47302.63
950,2010/08/07,43616
951,2010/08/08,41124.89
952,2010/08/09,46280
953,2010/08/10,47749.93
954,2010/08/11,49828
955,2010/08/12,52881.26
956,2010/08/13,53482.02
957,2010/08/14,51963.82
958,2010/08/15,47966.38
959,2010/08/16,49246.89
960,2010/08/17,48575.82
961,2010/08/18,47870.32
962,2010/08/19,47902.58
963,2010/08/20,47580.58
964,2010/08/21,45164.75
965,2010/08/22,43924.5
966,2010/08/23,48732.2
967,2010/08/24,49300.12
968,2010/08/25,47892.45
969,2010/08/26,46803.01
970,2010/08/27,44474.65
971,2010/08/28,39443.17
972,2010/08/29,37256.36
973,2010/08/30,40897.13
974,2010/08/31,42228.5
975,2010/09/01,42828.9
976,2010/09/02,43328.23
977,2010/09/03,44557.91
978,2010/09/04,42260.86
979,2010/09/05,40302.08
980,2010/09/06,43988.83
981,2010/09/07,45031.02
982,2010/09/08,46695.86
983,2010/09/09,47267.6
984,2010/09/10,45118.54
985,2010/09/11,41188.76
986,2010/09/12,36427.86
987,2010/09/13,38182
988,2010/09/14,39509.05
989,2010/09/15,39839.04
990,2010/09/16,39517.58
991,2010/09/17,39382.34
992,2010/09/18,37977.07
993,2010/09/19,41964.41
994,2010/09/20,44429.02
995,2010/09/21,45063
996,2010/09/22,32724.35
997,2010/09/23,30872.46
998,2010/09/24,32383.01
999,2010/09/25,33718.43
1000,2010/09/26,33031.01
1001,2010/09/27,33502.4
1002,2010/09/28,33896.29
1003,2010/09/29,32812.88
1004,2010/09/30,31237.39
1005,2010/10/01,25603.94
1006,2010/10/02,25724.31
1007,2010/10/03,25925.28
1008,2010/10/04,27567.97
1009,2010/10/05,28935.95
1010,2010/10/06,29913.85
1011,2010/10/07,30768.8
1012,2010/10/08,32763.29
1013,2010/10/09,32942.95
1014,2010/10/10,30842
