A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/6/2016 1:00,2016,1,6,1,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 2:00,2016,1,6,2,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 3:00,2016,1,6,3,53,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 4:00,2016,1,6,4,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 5:00,2016,1,6,5,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 6:00,2016,1,6,6,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 7:00,2016,1,6,7,46,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 8:00,2016,1,6,8,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 9:00,2016,1,6,9,46,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 10:00,2016,1,6,10,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 11:00,2016,1,6,11,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 12:00,2016,1,6,12,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 13:00,2016,1,6,13,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 14:00,2016,1,6,14,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 15:00,2016,1,6,15,53,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 16:00,2016,1,6,16,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 17:00,2016,1,6,17,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 18:00,2016,1,6,18,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 19:00,2016,1,6,19,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 20:00,2016,1,6,20,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 21:00,2016,1,6,21,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 22:00,2016,1,6,22,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 23:00,2016,1,6,23,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 0:00,2016,1,7,0,53,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 1:00,2016,1,7,1,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 2:00,2016,1,7,2,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 3:00,2016,1,7,3,66,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 4:00,2016,1,7,4,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 5:00,2016,1,7,5,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 6:00,2016,1,7,6,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 7:00,2016,1,7,7,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 8:00,2016,1,7,8,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 9:00,2016,1,7,9,80,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 10:00,2016,1,7,10,82,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 11:00,2016,1,7,11,92,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 12:00,2016,1,7,12,98,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 13:00,2016,1,7,13,102,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 14:00,2016,1,7,14,109,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 15:00,2016,1,7,15,111,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 16:00,2016,1,7,16,100,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 17:00,2016,1,7,17,112,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 18:00,2016,1,7,18,101,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 19:00,2016,1,7,19,98,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 20:00,2016,1,7,20,74,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 21:00,2016,1,7,21,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 22:00,2016,1,7,22,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 23:00,2016,1,7,23,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 0:00,2016,1,8,0,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 1:00,2016,1,8,1,53,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 2:00,2016,1,8,2,50,µg/m³,1 Hr,Valid
